date,total_market_cap,active_asset_count,direct_observation_asset_count,carried_forward_asset_count,stale_asset_count,median_observation_age_days,max_observation_age_days,direct_observation_market_cap,carried_forward_market_cap,new_issuance,price_effect,removed_capital,other_adjustments,frequency,direct_coverage_pct,carried_forward_coverage_pct,prior_market_cap,net_external_flow,period_return,return_index,cumulative_invested_capital,cumulative_flow_adjusted_pl,drawdown,market_cap_weighted_index,equal_weighted_period_return,equal_weighted_index,calculated_at,calculation_version,reconciliation_difference,reconciles
2019-11-01,110300.0,3,0,0,0,0.0,0,0.0,0.0,110300.0,0.0,0.0,0.0,native,0.0,0.0,0.0,110300.0,0.0,100.0,110300.0,0.0,0.0,100.0,0.0,100.0,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-02-01,162800.0,4,0,3,0,92.0,92,0.0,110300.0,52500.0,0.0,0.0,0.0,native,0.0,0.6775184275184275,110300.0,52500.0,0.0,100.0,162800.0,0.0,0.0,100.0,0.0,100.0,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-03-17,165000.0,4,1,3,2,91.0,137,20000.0,145000.0,0.0,2199.999999999999,0.0,0.0,native,0.12121212121212122,0.8787878787878788,162800.0,0.0,0.013513513513513598,101.35135135135135,162800.0,2200.0,0.0,101.35135135135135,0.030898876404494346,103.08988764044943,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-04-01,190500.0,5,0,4,2,60.0,152,0.0,165000.0,25500.0,0.0,0.0,0.0,native,0.0,0.8661417322834646,165000.0,25500.0,0.0,101.35135135135135,188300.0,2200.0,0.0,101.35135135135135,0.0,103.08988764044943,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-05-01,330500.0,6,0,5,2,67.5,182,0.0,190500.0,140000.0,0.0,0.0,0.0,native,0.0,0.5763993948562783,190500.0,140000.0,0.0,101.35135135135135,328300.0,2200.0,0.0,101.35135135135135,0.0,103.08988764044943,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-05-05,332000.0,6,1,5,1,41.5,186,36000.0,296000.0,0.0,1500.0,0.0,0.0,native,0.10843373493975904,0.891566265060241,330500.0,0.0,0.004538577912254205,101.81134235597172,328300.0,3700.0,0.0,101.81134235597172,0.007246376811594198,103.83691581175705,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-06-01,388000.0,8,0,6,2,46.0,213,0.0,332000.0,56000.0,0.0,0.0,0.0,native,0.0,0.8556701030927835,332000.0,56000.0,0.0,101.81134235597172,384300.0,3700.0,0.0,101.81134235597172,0.0,103.83691581175705,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-06-30,395000.0,8,1,7,2,58.0,242,27000.0,368000.0,0.0,7000.0,0.0,0.0,native,0.06835443037974684,0.9316455696202531,388000.0,0.0,0.018041237113401998,103.64814492424954,384300.0,10700.0,0.0,103.64814492424954,0.04375000000000001,108.3797808785214,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-08-18,405400.0,8,1,7,2,91.5,291,35900.0,369500.0,0.0,10399.999999999998,0.0,0.0,native,0.08855451406018747,0.9114454859398126,395000.0,0.0,0.026329113924050684,106.37710873997663,384300.0,21100.0,0.0,106.37710873997663,0.05098039215686273,113.9050246095833,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-09-01,803000.0,15,0,8,3,14.0,305,0.0,405400.0,397600.0,0.0,0.0,0.0,native,0.0,0.5048567870485678,405400.0,397600.0,0.0,106.37710873997663,781900.0,21100.0,0.0,106.37710873997663,0.0,113.9050246095833,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-09-15,813000.0,15,1,14,3,14.0,319,150000.0,663000.0,0.0,10000.0,0.0,0.0,native,0.18450184501845018,0.8154981549815498,803000.0,0.0,0.012453300124533051,107.70185480149566,781900.0,31100.0,0.0,107.70185480149566,0.00476190476190476,114.44742948867655,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-10-01,882000.0,16,0,15,5,30.0,335,0.0,813000.0,69000.0,0.0,0.0,0.0,native,0.0,0.9217687074829932,813000.0,69000.0,0.0,107.70185480149566,850900.0,31100.0,0.0,107.70185480149566,0.0,114.44742948867655,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-10-13,882000.0,16,1,15,4,42.0,347,28000.0,854000.0,0.0,0.0,0.0,0.0,native,0.031746031746031744,0.9682539682539683,882000.0,0.0,0.0,107.70185480149566,850900.0,31100.0,0.0,107.70185480149566,0.0,114.44742948867655,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-10-20,882000.0,16,1,15,4,49.0,354,27000.0,855000.0,0.0,0.0,0.0,0.0,native,0.030612244897959183,0.9693877551020408,882000.0,0.0,0.0,107.70185480149566,850900.0,31100.0,0.0,107.70185480149566,0.0,114.44742948867655,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-11-01,1171500.0,20,0,16,4,61.0,366,0.0,882000.0,289500.0,0.0,0.0,0.0,native,0.0,0.7528809218950064,882000.0,289500.0,0.0,107.70185480149566,1140400.0,31100.0,0.0,107.70185480149566,0.0,114.44742948867655,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-11-17,1171500.0,20,1,19,3,77.0,382,36000.0,1135500.0,0.0,0.0,0.0,0.0,native,0.030729833546734954,0.969270166453265,1171500.0,0.0,0.0,107.70185480149566,1140400.0,31100.0,0.0,107.70185480149566,0.0,114.44742948867655,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-11-20,1331500.0,21,0,20,3,80.0,385,0.0,1171500.0,160000.0,0.0,0.0,0.0,native,0.0,0.8798347728126173,1171500.0,160000.0,0.0,107.70185480149566,1300400.0,31100.0,0.0,107.70185480149566,0.0,114.44742948867655,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-12-01,1411600.0,23,2,19,2,49.0,396,96000.0,1243100.0,72500.0,7600.000000000002,0.0,0.0,native,0.06800793425899689,0.8806319070558232,1331500.0,72500.0,0.005707848291400586,108.31660064940505,1372900.0,38700.0,0.0,108.31660064940505,0.006935364675117953,115.24116414831039,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-12-15,1361600.0,23,1,22,2,56.0,410,100000.0,1261600.0,0.0,-50000.0,0.0,0.0,native,0.07344300822561692,0.9265569917743831,1411600.0,0.0,-0.035420799093227595,104.47994009934109,1372900.0,-11300.0,-0.035420799093227706,104.47994009934109,-0.014492753623188408,113.5710023490595,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2020-12-22,1361600.0,23,1,22,2,51.0,417,54000.0,1307600.0,0.0,0.0,0.0,0.0,native,0.03965922444183314,0.9603407755581669,1361600.0,0.0,0.0,104.47994009934109,1372900.0,-11300.0,-0.035420799093227706,104.47994009934109,0.0,113.5710023490595,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2021-01-01,1856600.0,27,0,23,8,61.0,427,0.0,1361600.0,495000.0,0.0,0.0,0.0,native,0.0,0.7333836044382204,1361600.0,495000.0,0.0,104.47994009934109,1867900.0,-11300.0,-0.035420799093227706,104.47994009934109,0.0,113.5710023490595,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2021-01-05,1861100.0,27,2,25,6,49.0,431,102500.0,1758600.0,0.0,4500.0,0.0,0.0,native,0.05507495567137714,0.9449250443286229,1856600.0,0.0,0.0024237854141979653,104.73317705423015,1867900.0,-6800.0,-0.033082866095231145,104.73317705423015,0.0038580246913580275,114.00916208034444,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2021-01-14,1861100.0,27,1,26,6,55.0,440,28000.0,1833100.0,0.0,0.0,0.0,0.0,native,0.015044865939498147,0.9849551340605018,1861100.0,0.0,0.0,104.73317705423015,1867900.0,-6800.0,-0.033082866095231145,104.73317705423015,0.0,114.00916208034444,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2021-01-21,1862600.0,27,1,26,6,51.0,447,28500.0,1834100.0,0.0,1500.0,0.0,0.0,native,0.015301191882315043,0.984698808117685,1861100.0,0.0,0.0008059749610445088,104.8175893725265,1867900.0,-5300.0,-0.032303555095898995,104.8175893725265,0.002057613168724281,114.24374883359616,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2021-02-01,1892600.0,28,0,27,7,62.0,458,0.0,1862600.0,30000.0,0.0,0.0,0.0,native,0.0,0.9841487900243052,1862600.0,30000.0,0.0,104.8175893725265,1897900.0,-5300.0,-0.032303555095898995,104.8175893725265,0.0,114.24374883359616,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2021-02-09,1906600.0,28,1,27,7,70.0,466,50000.0,1856600.0,0.0,14000.0,0.0,0.0,native,0.0262246931710899,0.9737753068289101,1892600.0,0.0,0.0073972313219909935,105.59294932772853,1897900.0,8700.0,-0.02514528064347521,105.59294932772853,0.013888888888888886,115.8304675673961,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2021-02-18,1921600.0,28,2,26,7,72.0,475,72000.0,1849600.0,0.0,15000.0,0.0,0.0,native,0.03746877601998335,0.9625312239800167,1906600.0,0.0,0.00786740795132701,106.42369213687357,1897900.0,23700.0,-0.017475700873020972,106.42369213687357,0.02551020408163265,118.78532643391131,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2021-03-01,1943600.0,29,0,28,7,76.0,486,0.0,1921600.0,22000.0,0.0,0.0,0.0,native,0.0,0.9886807985182137,1921600.0,22000.0,0.0,106.42369213687357,1919900.0,23700.0,-0.017475700873020972,106.42369213687357,0.0,118.78532643391131,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2021-03-02,1923600.0,29,1,28,10,70.0,487,80000.0,1843600.0,0.0,-20000.0,0.0,0.0,native,0.041588687876897484,0.9584113121231025,1943600.0,0.0,-0.010290183165260314,105.32857285166186,1919900.0,3700.0,-0.027586055875356674,105.32857285166186,-0.006896551724137929,117.96611728609123,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2021-03-04,1919600.0,29,1,28,10,62.0,489,50000.0,1869600.0,0.0,-4000.0,0.0,0.0,native,0.026047093144405085,0.9739529068555949,1923600.0,0.0,-0.0020794343938448367,105.10954899461953,1919900.0,-300.0,-0.029608126875823704,105.10954899461953,-0.0025542784163473816,117.66479897884707,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2021-03-11,1906800.0,29,1,28,10,69.0,496,33200.0,1873600.0,0.0,-12799.999999999996,0.0,0.0,native,0.017411369834277324,0.9825886301657227,1919600.0,0.0,-0.0066680558449676575,104.40867265208405,1919900.0,-13100.0,-0.03607875407731842,104.40867265208405,-0.009595202398800597,116.53578141743084,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
2021-03-16,1885300.0,29,1,28,10,74.0,501,35000.0,1850300.0,0.0,-21500.0,0.0,0.0,native,0.018564684665570465,0.9814353153344295,1906800.0,0.0,-0.011275435284245905,103.23141942048146,1919900.0,-34600.0,-0.04694738570482937,103.23141942048146,-0.013121757705218189,115.00662712968304,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware,0.0,True
